Suburbs,Number,Percentage of total
Dirranbandi,4,0.014578853
Mansfield,4,0.014578853
Karana Downs,2,0.007289427
Cunnamulla,21,0.07653898
Morningside,1,0.003644713
Grange,3,0.01093414
Strathpine,1,0.003644713
Amby,2,0.007289427
Pimpama,4,0.014578853
North Toowoomba,3,0.01093414
Mount Molloy,2,0.007289427
Nambour,7,0.025512993
Moranbah,2,0.007289427
Townsville City,6,0.02186828
Morayfield,2,0.007289427
Boulia,3,0.01093414
Marsden,3,0.01093414
Cherbourg,3,0.01093414
Collinsville,4,0.014578853
Proserpine,2,0.007289427
Mount Lofty,5,0.018223567
Ferny Hills,1,0.003644713
Calen,1,0.003644713
South Townsville,1,0.003644713
Gordonvale,3,0.01093414
Duaringa,3,0.01093414
Torquay,1,0.003644713
Lawnton,2,0.007289427
Nanango,1,0.003644713
St George,11,0.040091847
Woorabinda,39,0.14214382
Newmarket,2,0.007289427
Burrum Heads,18,0.06560484
Yarraman,2,0.007289427
Deagon,3,0.01093414
Injune,2,0.007289427
Woolloongabba,1,0.003644713
Sandgate,1,0.003644713
Alpha,2,0.007289427
Minyama,3,0.01093414
Highfields,2,0.007289427
Goomeri,4,0.014578853
Home Hill,1,0.003644713
Manoora,1,0.003644713
Gayndah,4,0.014578853
St Lucia,1,0.003644713
Maryborough West,2,0.007289427
Bell,3,0.01093414
Miriam Vale,1,0.003644713
The Gap,4,0.014578853
Nundah,2,0.007289427
Greenbank,3,0.01093414
Red Hill,1,0.003644713
Paradise Pt,1,0.003644713
Keppel Sands,1,0.003644713
Bakers Creek,7,0.025512993
Charlton,2,0.007289427
Bellbowrie,5,0.018223567
Carole Park,5,0.018223567
Capella,4,0.014578853
Ferny Grove,4,0.014578853
Pioneer Valley,1,0.003644713
North Lakes,2,0.007289427
Miles,5,0.018223567
Pormpuraaw South,5,0.018223567
Wilsonton,1,0.003644713
Yeronga,2,0.007289427
Raceview,1,0.003644713
Bollon,1,0.003644713
Hughenden,4,0.014578853
Oakey,2,0.007289427
Texas,1,0.003644713
Ravenshoe,2,0.007289427
Everton Hills,3,0.01093414
Wondai,1,0.003644713
